Actual,Previsto
0.6,0.617836257309942
0.55,0.617836257309942
0.8,0.617836257309942
0.9,0.8999999999999999
0.35,0.38619047619047664
0.5,0.5513333333333335
0.35,0.4747058823529416
0.65,0.617836257309942
0.65,0.617836257309942
0.65,0.617836257309942
0.65,0.5513333333333335
0.55,0.5513333333333335
0.7,0.617836257309942
0.55,0.617836257309942
0.5,0.4747058823529416
0.5,0.5513333333333335
0.25,0.38619047619047664
0.35,0.38619047619047664
0.55,0.617836257309942
0.35,0.38619047619047664
0.5,0.5513333333333335
0.7,0.6789473684210523
0.55,0.617836257309942
0.35,0.38619047619047664
0.7,0.6789473684210523
0.4,0.617836257309942
0.55,0.617836257309942
0.45,0.617836257309942
0.55,0.6789473684210523
0.65,0.5513333333333335
0.8,0.8000000000000003
0.75,0.617836257309942
0.7,0.6789473684210523
0.35,0.38619047619047664
0.4,0.6789473684210523
0.7,0.6789473684210523
0.6,0.617836257309942
0.9,0.8999999999999999
0.45,0.5513333333333335
0.5,0.5513333333333335
0.65,0.617836257309942
0.35,0.38619047619047664
0.5,0.5513333333333335
0.8,0.8000000000000003
0.55,0.617836257309942
0.45,0.38619047619047664
0.7,0.6789473684210523
0.7,0.6789473684210523
0.45,0.4747058823529416
0.9,0.8999999999999999
0.45,0.8000000000000003
0.45,0.521875
0.35,0.38619047619047664
0.65,0.5513333333333335
0.7,0.6789473684210523
0.35,0.38619047619047664
0.55,0.521875
0.5,0.5513333333333335
0.7,0.6789473684210523
0.35,0.38619047619047664
0.55,0.38619047619047664
0.5,0.4747058823529416
0.8,0.8000000000000004
0.8,0.8000000000000004
0.6,0.38619047619047664
0.7,0.6789473684210523
0.8,0.8000000000000004
0.9,0.8999999999999999
0.6,0.38619047619047664
0.5,0.4747058823529416
0.5,0.5513333333333335
0.7,0.617836257309942
0.35,0.38619047619047664
0.9,0.8999999999999999
0.35,0.4747058823529416
0.55,0.617836257309942
0.5,0.4747058823529416
0.7,0.617836257309942
0.35,0.38619047619047664
0.5,0.5513333333333335
0.45,0.4747058823529416
0.5,0.5513333333333335
0.4,0.38619047619047664
0.65,0.5513333333333335
0.5,0.5513333333333335
0.9,0.8999999999999999
0.55,0.617836257309942
0.35,0.38619047619047664
0.5,0.5513333333333335
0.55,0.521875
0.65,0.617836257309942
0.55,0.617836257309942
0.55,0.617836257309942
0.6,0.38619047619047664
0.5,0.617836257309942
0.5,0.5513333333333335
0.8,0.8000000000000004
0.35,0.38619047619047664
0.35,0.38619047619047664
0.5,0.5513333333333335
0.9,0.8999999999999999
0.35,0.38619047619047664
0.65,0.617836257309942
0.8,0.8000000000000004
0.35,0.38619047619047664
0.35,0.38619047619047664
0.5,0.5513333333333335
0.5,0.5513333333333335
0.5,0.4747058823529416
0.7,0.6789473684210523
0.4,0.5513333333333335
0.65,0.4747058823529416
0.5,0.4747058823529416
0.8,0.8000000000000004
0.6,0.38619047619047664
0.45,0.5513333333333335
0.7,0.38619047619047664
0.55,0.5513333333333335
0.4,0.5513333333333335
0.5,0.4747058823529416
0.5,0.5513333333333335
0.7,0.4747058823529416
0.8,0.8000000000000003
0.6,0.6789473684210523
0.9,0.8999999999999999
0.7,0.6789473684210523
0.8,0.8000000000000004
0.35,0.38619047619047664
0.35,0.38619047619047664
0.6,0.5513333333333335
0.65,0.617836257309942
0.5,0.5513333333333335
0.6,0.617836257309942
0.65,0.5513333333333335
0.45,0.5513333333333335
0.35,0.38619047619047664
0.5,0.4747058823529416
0.45,0.4747058823529416
0.7,0.6789473684210523
0.45,0.617836257309942
0.8,0.8000000000000004
0.4,0.5513333333333335
0.25,0.6789473684210523
